Question Number,Variable,Question Text
11,OS8,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization has reassured me that they understand if my work performance suffers]"""
11,OS9,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My team is continuing to have regular meetings (e.g. via video chat)]"""
11,OS10,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My team is avoiding synchronous communication (e.g. video chat)]"""
11,OS11,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization is encouraging staff to touch base regularly with each other]"""
11,OS12,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My team is having virtual social events (e.g. via video chat)]"""
11,OS13,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [For most of the day, I work with an open video or audio call to some or all of my team.]"""
11,OS14,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization is sending food to staff working from home]"""
11,OS15,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization is providing activities to occupy staff member's children]"""
11,OS16,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization is providing at-home exercise programs]"""
11,OS17,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization is encouraging staff to use this time for professional training]"""
11,OS18,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My team has good work-from-home infrastructure (e.g. source control, VPN, remote desktop, file sharing)]"""
11,OS19,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My team is peer reviewing commits, change requests or pull requests (peer code review)]"""
11,OS20,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My team uses a build system to automate compilation and testing]"""
11,OS21,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization is improving documentation of its processes (e.g. how code changes are approved)]"""
11,OS22,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [Someone is keeping high priority work ready and our backlog organized]"""
12,WHO5B1,"""Thinking of the 4 weeks (28 days) prior to when you began working from home... [...I felt cheerful and in good spirits]"""
12,WHO5B2,"""Thinking of the 4 weeks (28 days) prior to when you began working from home... [...I felt calm and relaxed]"""
12,WHO5B3,"""Thinking of the 4 weeks (28 days) prior to when you began working from home... [...I felt active and vigorous]"""
12,WHO5B4,"""Thinking of the 4 weeks (28 days) prior to when you began working from home... [...I woke up feeling fresh and rested]"""
12,WHO5B5,"""Thinking of the 4 weeks (28 days) prior to when you began working from home... [...My daily life was filled with things that interest me]"""
13,WHO5S1,"""Since I began working at home due to the COVID-19 pandemic... [...I have felt cheerful and in good spirits]"""
13,WHO5S2,"""Since I began working at home due to the COVID-19 pandemic... [...I have felt calm and relaxed]"""
13,WHO5S3,"""Since I began working at home due to the COVID-19 pandemic... [...I have felt active and vigorous]"""
13,WHO5S4,"""Since I began working at home due to the COVID-19 pandemic... [...I wake up feeling fresh and rested]"""
13,WHO5S5,"""Since I began working at home due to the COVID-19 pandemic... [...My daily life has been filled with things that interest me]"""
14,HPQB1,"""In the 4 weeks before you began working from home... [How often was your performance higher than most workers on your job?]"""
14,HPQB2,"""In the 4 weeks before you began working from home... [How often was your performance lower than most workers on your job?]"""
14,HPQB3,"""In the 4 weeks before you began working from home... [How often did you do no work at times when you were supposed to be working?]"""
14,HPQB4,"""In the 4 weeks before you began working from home... [How often did you find yourself not working as carefully as you should?]"""
14,HPQB5,"""In the 4 weeks before you began working from home... [How often did you not concentrate enough on your work?]"""
14,HPQB6,"""In the 4 weeks before you began working from home... [How often was the quality of your work lower than it should have been?]"""
14,HPQB7,"""In the 4 weeks before you began working from home... [How often did concern about the COVID-19 pandemic limit the kind or amount of work you could do?]"""
15,HPQB8,"""How would you compare your overall job performance with the performance of most other workers who have a similar type of job during the 4 weeks (28 days) prior to when you began working from home?"""
16,HPQS1,"""Since you began working from home... [How often was your performance higher than most workers on your job?]"""
16,HPQS2,"""Since you began working from home... [How often was your performance lower than most workers on your job?]"""
16,HPQS3,"""Since you began working from home... [How often did you do no work at times when you were supposed to be working?]"""
16,HPQS4,"""Since you began working from home... [How often did you find yourself not working as carefully as you should?]"""
16,HPQS5,"""Since you began working from home... [How often did you not concentrate enough on your work?]"""
16,HPQS6,"""Since you began working from home... [How often was the quality of your work lower than it should have been?]"""
16,HPQS7,"""Since you began working from home... [How often did concern about the COVID-19 pandemic limit the kind or amount of work you could do?]"""
17,HPQS8,"""How would you compare your overall job performance,  since you began working from home, with the performance of most other workers who have a similar type of job?"""
18,PerformanceOthers,"""How would you rate the usual performance of most workers in a job similar to yours?"""
19,PerB1item,"""How would you rate your usual job performance over the past year or two?"""
20,PerS1item,"""How would you rate your overall job performance on the days you worked since you began working at home due to the COVID-19 pandemic?"""
21,RolesIncludeDeveloper,"""Which of the following best describes your role?"""
22,YearsOfExperience,"""How many years of professional experience do you have working in software development?"""
23,YearsOfWorkFromHomeExperience,"""How many years of professional experience do you have working from home?"""
24,Fulltime,"""My primary job is:"""
25,Coinhabitants,"""How many people live in your home, including you?"""
26,Children,"""How many of the people who live with you are children under the age of 12?"""
27,Age,"""How old are you (in years)?"""
28,Gender,"""What is your gender?"""
29,Country,"""In what country do you live?"""
30,Education,"""What is the highest level of education you have completed?"""
31,OrganizationSize,"""How many employees does your whole organization (not your team) have?"""
32,Disabilities,"""Do you have a disability (or disabilities) that affects your work?"""
